iter	Passed	Remaining
0	93	18511
1	197	19523
2	290	19107
3	381	18682
4	473	18462
5	562	18174
6	653	18008
7	743	17850
8	835	17727
9	928	17650
10	1026	17639
11	1118	17519
12	1214	17463
13	1298	17247
14	1387	17106
15	1472	16928
16	1562	16817
17	1671	16896
18	1765	16818
19	1855	16700
20	1958	16690
21	2061	16679
22	2139	16466
23	2233	16379
24	2327	16289
25	2420	16197
26	2507	16067
27	2602	15985
28	2697	15908
29	2785	15786
30	2877	15689
31	2968	15584
32	3057	15471
33	3146	15360
34	3240	15276
35	3332	15180
36	3428	15105
37	3517	14996
38	3613	14917
39	3701	14806
40	3784	14677
41	3871	14565
42	3956	14444
43	4044	14340
44	4131	14231
45	4216	14114
46	4300	13999
47	4396	13923
48	4489	13835
49	4574	13724
50	4665	13631
51	4756	13536
52	4845	13439
53	4931	13334
54	5008	13204
55	5091	13093
56	5189	13020
57	5274	12912
58	5356	12800
59	5439	12692
60	5531	12604
61	5614	12496
62	5698	12391
63	5784	12292
64	5890	12233
65	5988	12157
66	6070	12051
67	6162	11962
68	6244	11856
69	6338	11771
70	6433	11688
71	6527	11605
72	6606	11492
73	6688	11389
74	6776	11294
75	6871	11211
76	6977	11146
77	7066	11052
78	7154	10958
79	7233	10850
80	7320	10754
81	7405	10656
82	7494	10564
83	7574	10460
84	7668	10374
85	7757	10283
86	7852	10198
87	7949	10117
88	8039	10026
89	8131	9938
90	8220	9846
91	8316	9762
92	8405	9671
93	8498	9583
94	8592	9497
95	8698	9422
96	8809	9353
97	8910	9273
98	9011	9193
99	9118	9118
100	9212	9029
101	9306	8941
102	9402	8854
103	9496	8765
104	9593	8679
105	9689	8592
106	9776	8497
107	9857	8396
108	9943	8301
109	10034	8210
110	10118	8113
111	10205	8018
112	10291	7923
113	10386	7835
114	10471	7739
115	10551	7640
116	10637	7546
117	10724	7452
118	10819	7364
119	10917	7278
120	11005	7185
121	11089	7090
122	11190	7005
123	11274	6910
124	11363	6818
125	11456	6728
126	11542	6634
127	11631	6542
128	11719	6450
129	11815	6362
130	11913	6274
131	12007	6185
132	12087	6089
133	12176	5997
134	12260	5903
135	12350	5812
136	12439	5720
137	12534	5631
138	12635	5545
139	12724	5453
140	12811	5361
141	12901	5269
142	12996	5180
143	13081	5087
144	13165	4993
145	13255	4902
146	13337	4808
147	13424	4716
148	13512	4625
149	13598	4532
150	13684	4440
151	13767	4347
152	13849	4254
153	13937	4163
154	14024	4071
155	14111	3980
156	14197	3888
157	14283	3796
158	14369	3705
159	14457	3614
160	14541	3522
161	14629	3431
162	14721	3341
163	14806	3250
164	14897	3160
165	14983	3068
166	15065	2976
167	15154	2886
168	15240	2795
169	15329	2705
170	15418	2614
171	15507	2524
172	15597	2434
173	15686	2343
174	15770	2252
175	15858	2162
176	15947	2072
177	16027	1980
178	16111	1890
179	16198	1799
180	16286	1709
181	16377	1619
182	16470	1530
183	16561	1440
184	16662	1351
185	16758	1261
186	16846	1171
187	16937	1081
188	17029	991
189	17116	900
190	17209	810
191	17305	721
192	17395	630
193	17481	540
194	17568	450
195	17660	360
196	17748	270
197	17834	180
198	17926	90
199	18020	0
